NaN,5e+05,1e+06,5e+06,9.7e+06,1.07e+07,1.17e+07,2e+07,1e+08,5e+08
-120,0.47775,0.47851,0.47902,0.48083,0.4876,0.48026,0.47613,0.47783,0.48103
-119.75,0.47969,0.48079,0.47875,0.48001,0.49017,0.48234,0.48016,0.48084,0.4823
-119.5,0.47634,0.47781,0.47812,0.48213,0.48656,0.48303,0.47997,0.48178,0.48229
-119.25,0.47722,0.47919,0.47953,0.47986,0.49155,0.47854,0.47812,0.47743,0.48119
-119,0.47946,0.47725,0.47969,0.47926,0.48876,0.48278,0.47906,0.48223,0.48028
-118.75,0.47954,0.48202,0.48103,0.47911,0.49005,0.48238,0.47767,0.48072,0.48233
-118.5,0.47851,0.47856,0.48102,0.48085,0.4926,0.48398,0.47909,0.4794,0.48058
-118.25,0.47609,0.48367,0.47872,0.47959,0.49276,0.48013,0.47891,0.48166,0.47874
-118,0.47861,0.47799,0.47847,0.47889,0.4921,0.4798,0.47561,0.47875,0.48077
-117.75,0.47889,0.47963,0.47925,0.48097,0.4904,0.48392,0.47738,0.47792,0.48
-117.5,0.48122,0.4793,0.47823,0.47645,0.49223,0.47752,0.47851,0.48109,0.4812
-117.25,0.48197,0.47854,0.47724,0.4793,0.4908,0.48192,0.47687,0.47522,0.47985
-117,0.47978,0.4793,0.48003,0.47712,0.49288,0.47982,0.47942,0.47791,0.47756
-116.75,0.48218,0.47858,0.47953,0.47945,0.49171,0.48212,0.47936,0.48069,0.47905
-116.5,0.48052,0.47999,0.47982,0.48059,0.49387,0.48193,0.47601,0.4801,0.4796
-116.25,0.47952,0.47744,0.48083,0.47599,0.4958,0.47989,0.47829,0.48023,0.47999
-116,0.48039,0.47805,0.48153,0.47893,0.49771,0.47965,0.47892,0.4779,0.48178
-115.75,0.47977,0.47796,0.4775,0.4794,0.49824,0.48037,0.47875,0.477,0.47889
-115.5,0.47886,0.47759,0.47734,0.47911,0.4982,0.48086,0.47789,0.48027,0.48048
-115.25,0.4812,0.47763,0.48058,0.48089,0.50005,0.48101,0.47483,0.48216,0.47864
-115,0.47915,0.47834,0.48084,0.4797,0.5008,0.48046,0.47811,0.47898,0.47889
-114.75,0.48007,0.47898,0.47972,0.477,0.50037,0.4802,0.4783,0.48073,0.48011
-114.5,0.4801,0.47692,0.47856,0.48169,0.50191,0.47863,0.47649,0.4786,0.4779
-114.25,0.47995,0.48044,0.47748,0.48023,0.50379,0.47817,0.47806,0.48098,0.48048
-114,0.48133,0.47936,0.4792,0.47785,0.5062,0.47934,0.47648,0.47907,0.48206
-113.75,0.48168,0.47908,0.47499,0.47626,0.50709,0.48011,0.47516,0.47969,0.4783
-113.5,0.48109,0.47777,0.47647,0.47759,0.51086,0.47904,0.47583,0.47986,0.48335
-113.25,0.48171,0.47762,0.47647,0.47668,0.51017,0.48039,0.47904,0.48005,0.48096
-113,0.48113,0.4809,0.47883,0.48079,0.51254,0.47738,0.47696,0.47815,0.48028
-112.75,0.47969,0.47968,0.4803,0.47879,0.51291,0.48048,0.47895,0.47991,0.48094
-112.5,0.47929,0.478,0.47857,0.4798,0.51834,0.47927,0.47965,0.48017,0.48274
-112.25,0.47871,0.48215,0.48094,0.48126,0.52092,0.47679,0.47947,0.47875,0.47963
-112,0.48042,0.47749,0.47905,0.47984,0.52183,0.48016,0.4785,0.4798,0.48043
-111.75,0.48004,0.47916,0.47924,0.47954,0.52329,0.48314,0.47634,0.47872,0.47987
-111.5,0.47929,0.48021,0.48119,0.48092,0.52776,0.47936,0.47972,0.47815,0.48131
-111.25,0.47992,0.47738,0.48121,0.47885,0.53017,0.48096,0.47712,0.47979,0.48251
-111,0.47881,0.47537,0.48117,0.47869,0.53161,0.48049,0.47458,0.48018,0.4826
-110.75,0.47824,0.47819,0.47965,0.47924,0.53374,0.48353,0.47731,0.48169,0.48042
-110.5,0.47809,0.47808,0.48125,0.47687,0.53789,0.48253,0.47704,0.48157,0.47963
-110.25,0.48132,0.47901,0.47855,0.48123,0.53945,0.48211,0.47585,0.48229,0.48149
-110,0.4805,0.48319,0.47737,0.47868,0.54467,0.48071,0.47782,0.48073,0.4813
-109.75,0.47877,0.47801,0.47951,0.48072,0.55113,0.48302,0.47607,0.48073,0.47967
-109.5,0.48063,0.47996,0.47852,0.47674,0.55116,0.48008,0.47528,0.47964,0.48106
-109.25,0.48119,0.47908,0.48148,0.47822,0.55527,0.47658,0.47589,0.48053,0.47895
-109,0.48058,0.48189,0.47994,0.47735,0.55879,0.48194,0.47442,0.47977,0.4826
